p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
13,1031,7,6,"[(x^6 + 300*x^5 + 2*x^4 + 299*x^3 + 2*x^2 + 300*x + 1, 7), (x^6 + 732*x^5 + 2*x^4 + 731*x^3 + 2*x^2 + 732*x + 1, 7)]",False
13,1063,7,6,"[(x^6 + 57*x^5 + 2*x^4 + 56*x^3 + 2*x^2 + 57*x + 1, 7), (x^6 + 1007*x^5 + 2*x^4 + 1006*x^3 + 2*x^2 + 1007*x + 1, 7)]",False
13,1109,7,6,"[(x^6 + 451*x^5 + 2*x^4 + 450*x^3 + 2*x^2 + 451*x + 1, 7), (x^6 + 659*x^5 + 2*x^4 + 658*x^3 + 2*x^2 + 659*x + 1, 7)]",False
13,1187,7,6,"[(x^6 + 35*x^5 + 2*x^4 + 34*x^3 + 2*x^2 + 35*x + 1, 7), (x^6 + 1153*x^5 + 2*x^4 + 1152*x^3 + 2*x^2 + 1153*x + 1, 7)]",False
13,1193,7,6,"[(x^6 + 227*x^5 + 2*x^4 + 226*x^3 + 2*x^2 + 227*x + 1, 7), (x^6 + 967*x^5 + 2*x^4 + 966*x^3 + 2*x^2 + 967*x + 1, 7)]",False
13,1213,7,6,"[(x^6 + 105*x^5 + 2*x^4 + 104*x^3 + 2*x^2 + 105*x + 1, 7), (x^6 + 1109*x^5 + 2*x^4 + 1108*x^3 + 2*x^2 + 1109*x + 1, 7)]",False
13,1291,7,6,"[(x^6 + 194*x^5 + 2*x^4 + 193*x^3 + 2*x^2 + 194*x + 1, 7), (x^6 + 1098*x^5 + 2*x^4 + 1097*x^3 + 2*x^2 + 1098*x + 1, 7)]",False
13,1297,7,6,"[(x^6 + 149*x^5 + 2*x^4 + 148*x^3 + 2*x^2 + 149*x + 1, 7), (x^6 + 1149*x^5 + 2*x^4 + 1148*x^3 + 2*x^2 + 1149*x + 1, 7)]",False
13,1427,7,6,"[(x^6 + 544*x^5 + 2*x^4 + 543*x^3 + 2*x^2 + 544*x + 1, 7), (x^6 + 884*x^5 + 2*x^4 + 883*x^3 + 2*x^2 + 884*x + 1, 7)]",False
13,1447,7,6,"[(x^6 + 566*x^5 + 2*x^4 + 565*x^3 + 2*x^2 + 566*x + 1, 7), (x^6 + 882*x^5 + 2*x^4 + 881*x^3 + 2*x^2 + 882*x + 1, 7)]",False
13,1453,7,6,"[(x^6 + 472*x^5 + 2*x^4 + 471*x^3 + 2*x^2 + 472*x + 1, 7), (x^6 + 982*x^5 + 2*x^4 + 981*x^3 + 2*x^2 + 982*x + 1, 7)]",False
13,1499,7,6,"[(x^6 + 277*x^5 + 2*x^4 + 276*x^3 + 2*x^2 + 277*x + 1, 7), (x^6 + 1223*x^5 + 2*x^4 + 1222*x^3 + 2*x^2 + 1223*x + 1, 7)]",False
13,1531,7,6,"[(x^6 + 524*x^5 + 2*x^4 + 523*x^3 + 2*x^2 + 524*x + 1, 7), (x^6 + 1008*x^5 + 2*x^4 + 1007*x^3 + 2*x^2 + 1008*x + 1, 7)]",False
13,1583,7,6,"[(x^6 + 331*x^5 + 2*x^4 + 330*x^3 + 2*x^2 + 331*x + 1, 7), (x^6 + 1253*x^5 + 2*x^4 + 1252*x^3 + 2*x^2 + 1253*x + 1, 7)]",False
13,1609,7,6,"[(x^6 + 70*x^5 + 2*x^4 + 69*x^3 + 2*x^2 + 70*x + 1, 7), (x^6 + 1540*x^5 + 2*x^4 + 1539*x^3 + 2*x^2 + 1540*x + 1, 7)]",False
13,1733,7,6,"[(x^6 + 737*x^5 + 2*x^4 + 736*x^3 + 2*x^2 + 737*x + 1, 7), (x^6 + 997*x^5 + 2*x^4 + 996*x^3 + 2*x^2 + 997*x + 1, 7)]",False
13,1759,7,6,"[(x^6 + 422*x^5 + 2*x^4 + 421*x^3 + 2*x^2 + 422*x + 1, 7), (x^6 + 1338*x^5 + 2*x^4 + 1337*x^3 + 2*x^2 + 1338*x + 1, 7)]",False
13,1811,7,6,"[(x^6 + 354*x^5 + 2*x^4 + 353*x^3 + 2*x^2 + 354*x + 1, 7), (x^6 + 1458*x^5 + 2*x^4 + 1457*x^3 + 2*x^2 + 1458*x + 1, 7)]",False
13,1889,7,6,"[(x^6 + 44*x^5 + 2*x^4 + 43*x^3 + 2*x^2 + 44*x + 1, 7), (x^6 + 1846*x^5 + 2*x^4 + 1845*x^3 + 2*x^2 + 1846*x + 1, 7)]",False
13,1973,7,6,"[(x^6 + 505*x^5 + 2*x^4 + 504*x^3 + 2*x^2 + 505*x + 1, 7), (x^6 + 1469*x^5 + 2*x^4 + 1468*x^3 + 2*x^2 + 1469*x + 1, 7)]",False
13,1993,7,6,"[(x^6 + 881*x^5 + 2*x^4 + 880*x^3 + 2*x^2 + 881*x + 1, 7), (x^6 + 1113*x^5 + 2*x^4 + 1112*x^3 + 2*x^2 + 1113*x + 1, 7)]",False
13,1999,7,6,"[(x^6 + 326*x^5 + 2*x^4 + 325*x^3 + 2*x^2 + 326*x + 1, 7), (x^6 + 1674*x^5 + 2*x^4 + 1673*x^3 + 2*x^2 + 1674*x + 1, 7)]",False
13,2129,7,6,"[(x^6 + 1025*x^5 + 2*x^4 + 1024*x^3 + 2*x^2 + 1025*x + 1, 7), (x^6 + 1105*x^5 + 2*x^4 + 1104*x^3 + 2*x^2 + 1105*x + 1, 7)]",False
13,2207,7,6,"[(x^6 + 336*x^5 + 2*x^4 + 335*x^3 + 2*x^2 + 336*x + 1, 7), (x^6 + 1872*x^5 + 2*x^4 + 1871*x^3 + 2*x^2 + 1872*x + 1, 7)]",False
13,2311,7,6,"[(x^6 + 896*x^5 + 2*x^4 + 895*x^3 + 2*x^2 + 896*x + 1, 7), (x^6 + 1416*x^5 + 2*x^4 + 1415*x^3 + 2*x^2 + 1416*x + 1, 7)]",False
13,2357,7,6,"[(x^6 + 699*x^5 + 2*x^4 + 698*x^3 + 2*x^2 + 699*x + 1, 7), (x^6 + 1659*x^5 + 2*x^4 + 1658*x^3 + 2*x^2 + 1659*x + 1, 7)]",False
13,2383,7,6,"[(x^6 + 406*x^5 + 2*x^4 + 405*x^3 + 2*x^2 + 406*x + 1, 7), (x^6 + 1978*x^5 + 2*x^4 + 1977*x^3 + 2*x^2 + 1978*x + 1, 7)]",False
13,2389,7,6,"[(x^6 + 1068*x^5 + 2*x^4 + 1067*x^3 + 2*x^2 + 1068*x + 1, 7), (x^6 + 1322*x^5 + 2*x^4 + 1321*x^3 + 2*x^2 + 1322*x + 1, 7)]",False
13,2441,7,6,"[(x^6 + 1059*x^5 + 2*x^4 + 1058*x^3 + 2*x^2 + 1059*x + 1, 7), (x^6 + 1383*x^5 + 2*x^4 + 1382*x^3 + 2*x^2 + 1383*x + 1, 7)]",False
13,2467,7,6,"[(x^6 + 970*x^5 + 2*x^4 + 969*x^3 + 2*x^2 + 970*x + 1, 7), (x^6 + 1498*x^5 + 2*x^4 + 1497*x^3 + 2*x^2 + 1498*x + 1, 7)]",False
13,2539,7,6,"[(x^6 + 454*x^5 + 2*x^4 + 453*x^3 + 2*x^2 + 454*x + 1, 7), (x^6 + 2086*x^5 + 2*x^4 + 2085*x^3 + 2*x^2 + 2086*x + 1, 7)]",False
13,2591,7,6,"[(x^6 + 265*x^5 + 2*x^4 + 264*x^3 + 2*x^2 + 265*x + 1, 7), (x^6 + 2327*x^5 + 2*x^4 + 2326*x^3 + 2*x^2 + 2327*x + 1, 7)]",False
13,2617,7,6,"[(x^6 + 761*x^5 + 2*x^4 + 760*x^3 + 2*x^2 + 761*x + 1, 7), (x^6 + 1857*x^5 + 2*x^4 + 1856*x^3 + 2*x^2 + 1857*x + 1, 7)]",False
13,2753,7,6,"[(x^6 + 53*x^5 + 2*x^4 + 52*x^3 + 2*x^2 + 53*x + 1, 7), (x^6 + 2701*x^5 + 2*x^4 + 2700*x^3 + 2*x^2 + 2701*x + 1, 7)]",False
13,2851,7,6,"[(x^6 + 93*x^5 + 2*x^4 + 92*x^3 + 2*x^2 + 93*x + 1, 7), (x^6 + 2759*x^5 + 2*x^4 + 2758*x^3 + 2*x^2 + 2759*x + 1, 7)]",False
13,2857,7,6,"[(x^6 + 1092*x^5 + 2*x^4 + 1091*x^3 + 2*x^2 + 1092*x + 1, 7), (x^6 + 1766*x^5 + 2*x^4 + 1765*x^3 + 2*x^2 + 1766*x + 1, 7)]",False
13,2903,7,6,"[(x^6 + 1425*x^5 + 2*x^4 + 1424*x^3 + 2*x^2 + 1425*x + 1, 7), (x^6 + 1479*x^5 + 2*x^4 + 1478*x^3 + 2*x^2 + 1479*x + 1, 7)]",False
13,2909,7,6,"[(x^6 + 1067*x^5 + 2*x^4 + 1066*x^3 + 2*x^2 + 1067*x + 1, 7), (x^6 + 1843*x^5 + 2*x^4 + 1842*x^3 + 2*x^2 + 1843*x + 1, 7)]",False
13,3137,7,6,"[(x^6 + 1369*x^5 + 2*x^4 + 1368*x^3 + 2*x^2 + 1369*x + 1, 7), (x^6 + 1769*x^5 + 2*x^4 + 1768*x^3 + 2*x^2 + 1769*x + 1, 7)]",False
13,3163,7,6,"[(x^6 + 1036*x^5 + 2*x^4 + 1035*x^3 + 2*x^2 + 1036*x + 1, 7), (x^6 + 2128*x^5 + 2*x^4 + 2127*x^3 + 2*x^2 + 2128*x + 1, 7)]",False
13,3169,7,6,"[(x^6 + 1450*x^5 + 2*x^4 + 1449*x^3 + 2*x^2 + 1450*x + 1, 7), (x^6 + 1720*x^5 + 2*x^4 + 1719*x^3 + 2*x^2 + 1720*x + 1, 7)]",False
