p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
2011,2,199,402,True
2017,2,149,336,True
2027,3,665,1013,True
2029,3,103,169,True
2039,2,507,1019,True
2053,29,165,171,True
2063,2,507,1031,True
2069,11,40,47,True
2081,11,139,160,True
2083,17,321,347,True
2087,19,269,298,True
2089,2,11,29,True
2099,3,686,1049,True
2111,3,139,211,True
2113,2,15,44,True
2129,23,18,19,True
2131,23,64,71,True
2137,7,303,356,True
2141,13,94,107,True
2143,2,23,51,True
2153,7,229,269,True
2161,13,118,135,True
2179,3,147,242,True
2203,2,359,734,True
2207,2,539,1103,True
2213,7,466,553,True
2221,3,118,185,True
2237,17,147,172,True
2239,5,301,373,True
2243,3,755,1121,True
2251,19,7,10,True
2267,3,764,1133,True
2269,3,20,42,True
2273,2,275,568,True
2281,5,33,60,True
2287,17,117,127,True
2293,17,349,382,True
2297,3,197,328,True
2309,5,452,577,True
2311,7,84,110,True
2333,7,500,583,True
2339,11,148,167,True
2341,19,65,78,True
2347,19,20,23,True
2351,2,19,47,True
2357,13,549,589,True
2371,17,70,79,True
2377,7,22,27,True
2381,17,109,119,True
2383,2,193,397,True
2389,3,231,398,True
2393,19,93,104,True
2399,17,99,109,True
2411,13,7,10,True
2417,7,497,604,True
2423,7,291,346,True
2437,19,191,203,True
2441,2,141,305,True
2447,2,583,1223,True
2459,3,824,1229,True
2467,11,243,274,True
2473,2,285,618,True
2477,19,594,619,True
2503,17,393,417,True
2521,11,42,56,True
2531,19,39,46,True
2539,11,237,282,True
2543,2,635,1271,True
2549,29,187,196,True
2551,7,18,25,True
2557,3,430,639,True
2579,3,851,1289,True
2591,11,31,37,True
2593,5,16,32,True
2609,29,156,163,True
2617,13,98,109,True
2621,5,95,131,True
2633,7,275,329,True
2647,19,269,294,True
2657,13,25,32,True
2659,11,388,443,True
2663,2,679,1331,True
2671,2,205,445,True
2677,19,211,223,True
2683,13,269,298,True
2687,2,33,79,True
2689,2,101,224,True
2693,23,646,673,True
2699,3,935,1349,True
2707,17,416,451,True
2711,17,254,271,True
2713,3,282,452,True
2719,23,144,151,True
2729,13,53,62,True
2731,2,5,26,True
2741,7,115,137,True
2749,5,181,229,True
2753,19,77,86,True
2767,2,223,461,True
2777,11,308,347,True
2789,29,38,41,True
2791,11,81,93,True
2797,11,210,233,True
2801,7,3,5,True
2803,17,433,467,True
2819,3,938,1409,True
2833,2,49,118,True
2837,7,607,709,True
2843,13,24,29,True
2851,3,19,38,True
2857,2,35,102,True
2861,13,49,55,True
2879,2,711,1439,True
2887,7,27,37,True
2897,11,659,724,True
2903,2,747,1451,True
2909,5,584,727,True
2917,2,479,972,True
2927,17,29,38,True
2939,5,84,113,True
2953,2,229,492,True
2957,17,694,739,True
2963,3,1001,1481,True
2969,23,11,14,True
2971,2,47,110,True
2999,2,719,1499,True
3001,11,19,25,True
3011,7,501,602,True
3019,13,459,503,True
3023,2,771,1511,True
3037,19,475,506,True
3041,19,175,190,True
3049,3,329,508,True
3061,5,17,34,True
3067,7,119,146,True
3079,3,63,114,True
3083,7,15,23,True
3089,2,379,772,True
3109,5,84,111,True
3119,2,735,1559,True
3121,5,51,78,True
3137,5,351,448,True
3163,11,80,93,True
3167,2,791,1583,True
3169,13,88,99,True
3181,3,171,265,True
3187,3,66,118,True
3191,2,21,55,True
3203,3,1076,1601,True
3209,19,381,401,True
3217,7,219,268,True
3221,11,3,5,True
3229,5,208,269,True
3251,2,309,650,True
3253,3,170,271,True
3257,2,203,407,True
3259,19,166,181,True
3271,2,271,545,True
3299,3,1112,1649,True
3301,5,53,75,True
3307,13,998,1102,True
3313,29,173,184,True
3319,11,498,553,True
3323,11,269,302,True
3329,13,179,208,True
3331,2,99,222,True
3343,2,277,557,True
3347,7,396,478,True
3359,2,863,1679,True
3361,2,81,168,True
3371,23,635,674,True
3373,3,181,281,True
3389,2,217,484,True
3391,2,47,113,True
3407,29,21,26,True
3413,11,766,853,True
3433,11,123,143,True
3449,2,203,431,True
3457,11,249,288,True
3461,5,129,173,True
3463,2,287,577,True
3467,3,1160,1733,True
3469,11,513,578,True
3491,13,630,698,True
3499,13,83,106,True
3511,3,147,270,True
3517,3,375,586,True
3527,2,899,1763,True
3529,7,38,49,True
3533,29,852,883,True
3539,13,23,29,True
3541,2,105,236,True
3547,7,164,197,True
3557,23,473,508,True
3559,11,533,593,True
3571,17,110,119,True
3581,5,137,179,True
3583,7,164,199,True
3593,7,737,898,True
3607,2,303,601,True
3613,13,269,301,True
3617,19,103,113,True
3623,2,915,1811,True
3631,7,23,33,True
3637,23,185,202,True
3643,19,566,607,True
3659,3,1244,1829,True
3671,2,939,1835,True
3673,17,141,153,True
3677,11,840,919,True
3691,17,40,45,True
3697,23,11,16,True
3701,11,165,185,True
3709,5,78,103,True
3719,17,131,143,True
3727,7,65,81,True
3733,3,187,311,True
3739,2,229,534,True
3761,2,85,188,True
3767,2,939,1883,True
3769,29,291,314,True
3779,3,1232,1889,True
3793,13,69,79,True
3797,19,895,949,True
3803,3,1232,1901,True
3821,2,357,764,True
3823,7,75,98,True
3833,19,5,8,True
3847,11,574,641,True
3851,3,4,11,True
3853,23,199,214,True
3863,2,971,1931,True
3877,17,297,323,True
3881,11,161,194,True
