p-th Cyclo pol,#F_q (pol factored over F_q),sparsity,ord_p(q),Factors,sparsity <= ord_p(q)?
11,487,6,5,"[(x^5 + 170*x^4 + 486*x^3 + x^2 + 169*x + 486, 6), (x^5 + 318*x^4 + 486*x^3 + x^2 + 317*x + 486, 6)]",False
11,499,6,5,"[(x^5 + 87*x^4 + 498*x^3 + x^2 + 86*x + 498, 6), (x^5 + 413*x^4 + 498*x^3 + x^2 + 412*x + 498, 6)]",False
11,509,6,5,"[(x^5 + 23*x^4 + 508*x^3 + x^2 + 22*x + 508, 6), (x^5 + 487*x^4 + 508*x^3 + x^2 + 486*x + 508, 6)]",False
11,521,6,5,"[(x^5 + 40*x^4 + 520*x^3 + x^2 + 39*x + 520, 6), (x^5 + 482*x^4 + 520*x^3 + x^2 + 481*x + 520, 6)]",False
11,577,6,5,"[(x^5 + 185*x^4 + 576*x^3 + x^2 + 184*x + 576, 6), (x^5 + 393*x^4 + 576*x^3 + x^2 + 392*x + 576, 6)]",False
11,587,6,5,"[(x^5 + 282*x^4 + 586*x^3 + x^2 + 281*x + 586, 6), (x^5 + 306*x^4 + 586*x^3 + x^2 + 305*x + 586, 6)]",False
11,599,6,5,"[(x^5 + 182*x^4 + 598*x^3 + x^2 + 181*x + 598, 6), (x^5 + 418*x^4 + 598*x^3 + x^2 + 417*x + 598, 6)]",False
11,619,6,5,"[(x^5 + 83*x^4 + 618*x^3 + x^2 + 82*x + 618, 6), (x^5 + 537*x^4 + 618*x^3 + x^2 + 536*x + 618, 6)]",False
11,631,6,5,"[(x^5 + 169*x^4 + 630*x^3 + x^2 + 168*x + 630, 6), (x^5 + 463*x^4 + 630*x^3 + x^2 + 462*x + 630, 6)]",False
11,641,6,5,"[(x^5 + 272*x^4 + 640*x^3 + x^2 + 271*x + 640, 6), (x^5 + 370*x^4 + 640*x^3 + x^2 + 369*x + 640, 6)]",False
11,643,6,5,"[(x^5 + 284*x^4 + 642*x^3 + x^2 + 283*x + 642, 6), (x^5 + 360*x^4 + 642*x^3 + x^2 + 359*x + 642, 6)]",False
11,647,6,5,"[(x^5 + 99*x^4 + 646*x^3 + x^2 + 98*x + 646, 6), (x^5 + 549*x^4 + 646*x^3 + x^2 + 548*x + 646, 6)]",False
11,653,6,5,"[(x^5 + 26*x^4 + 652*x^3 + x^2 + 25*x + 652, 6), (x^5 + 628*x^4 + 652*x^3 + x^2 + 627*x + 652, 6)]",False
11,691,6,5,"[(x^5 + 46*x^4 + 690*x^3 + x^2 + 45*x + 690, 6), (x^5 + 646*x^4 + 690*x^3 + x^2 + 645*x + 690, 6)]",False
11,709,6,5,"[(x^5 + 332*x^4 + 708*x^3 + x^2 + 331*x + 708, 6), (x^5 + 378*x^4 + 708*x^3 + x^2 + 377*x + 708, 6)]",False
