p-th Cyclo pol,qMin = #elements in `sparsest field`,sparsity,ord_p(qMin),sparsity <= ord_p(qMin)?
313,7,91,104,True
313,11,69,78,True
313,13,131,156,True
313,19,24,26,True
313,23,99,104,True
313,29,11,12,True
317,7,135,158,True
317,11,72,79,True
317,23,76,79,True
331,2,9,30,True
331,5,128,165,True
331,7,86,110,True
331,13,60,66,True
331,17,159,165,True
331,19,156,165,True
331,23,61,66,True
337,2,9,21,True
337,3,111,168,True
337,5,89,112,True
337,7,42,56,True
337,11,103,112,True
337,13,19,21,True
337,17,105,112,True
347,3,119,173,True
347,11,153,173,True
347,13,160,173,True
347,29,167,173,True
349,3,105,174,True
349,5,141,174,True
349,11,109,116,True
349,17,53,58,True
349,19,80,87,True
349,23,84,87,True
349,29,167,174,True
353,2,35,88,True
353,7,27,32,True
353,11,81,88,True
353,17,77,88,True
353,19,159,176,True
353,23,171,176,True
353,29,81,88,True
359,2,87,179,True
359,3,119,179,True
359,5,135,179,True
359,11,168,179,True
359,17,164,179,True
359,23,162,179,True
367,2,95,183,True
367,3,82,122,True
367,5,91,122,True
367,7,48,61,True
367,13,170,183,True
367,23,175,183,True
367,29,111,122,True
373,3,122,186,True
373,7,50,62,True
373,13,53,62,True
373,17,56,62,True
373,19,117,124,True
373,23,117,124,True
373,29,92,93,True
379,5,16,21,True
379,11,51,54,True
379,19,179,189,True
379,23,61,63,True
379,29,123,126,True
383,2,91,191,True
383,3,122,191,True
383,7,163,191,True
383,17,179,191,True
383,19,184,191,True
383,23,180,191,True
383,29,185,191,True
389,5,80,97,True
389,7,84,97,True
389,11,86,97,True
389,13,90,97,True
389,17,91,97,True
389,19,181,194,True
397,2,19,44,True
397,3,135,198,True
397,11,90,99,True
397,17,123,132,True
397,19,96,99,True
397,23,185,198,True
397,29,97,99,True
401,2,99,200,True
401,5,17,25,True
401,7,170,200,True
401,11,184,200,True
401,29,7,10,True
409,2,95,204,True
409,3,129,204,True
409,5,13,17,True
409,7,17,24,True
409,11,115,136,True
409,13,123,136,True
409,17,45,51,True
409,19,125,136,True
409,23,193,204,True
419,3,137,209,True
419,5,174,209,True
419,7,14,19,True
419,13,10,11,True
419,23,204,209,True
419,29,204,209,True
421,3,72,105,True
421,5,175,210,True
421,7,57,70,True
421,11,94,105,True
421,13,17,20,True
421,17,197,210,True
421,19,131,140,True
421,29,4,4,True
431,2,17,43,True
431,3,23,43,True
431,5,167,215,True
431,11,198,215,True
431,19,198,215,True
431,23,200,215,True
431,29,205,215,True
433,2,27,72,True
433,3,15,27,True
433,11,197,216,True
433,13,197,216,True
433,17,25,27,True
439,2,33,73,True
439,3,87,146,True
439,5,172,219,True
439,7,58,73,True
439,11,188,219,True
439,13,202,219,True
439,19,208,219,True
439,29,215,219,True
443,3,146,221,True
443,13,15,17,True
443,17,209,221,True
449,2,91,224,True
449,5,9,14,True
449,7,91,112,True
449,11,46,56,True
449,23,107,112,True
457,2,35,76,True
457,3,145,228,True
457,5,117,152,True
457,7,97,114,True
457,11,136,152,True
457,17,29,38,True
457,19,109,114,True
457,29,113,114,True
461,5,83,115,True
461,13,83,92,True
461,17,221,230,True
461,19,111,115,True
461,23,21,23,True
463,2,119,231,True
463,7,124,154,True
463,13,39,42,True
463,17,215,231,True
463,23,143,154,True
463,29,220,231,True
467,3,158,233,True
467,7,202,233,True
467,13,210,233,True
467,17,223,233,True
467,23,221,233,True
479,2,115,239,True
479,3,158,239,True
479,5,191,239,True
479,7,197,239,True
479,11,211,239,True
479,23,223,239,True
487,2,131,243,True
487,5,39,54,True
487,7,137,162,True
487,19,26,27,True
487,29,80,81,True
491,3,28,49,True
491,5,201,245,True
491,11,221,245,True
491,13,225,245,True
491,17,46,49,True
499,2,69,166,True
499,3,119,166,True
499,5,193,249,True
499,13,137,166,True
499,29,243,249,True
503,2,135,251,True
503,3,170,251,True
503,7,207,251,True
503,11,230,251,True
503,13,237,251,True
503,23,234,251,True
509,5,209,254,True
509,11,227,254,True
509,17,120,127,True
509,23,119,127,True
509,29,243,254,True
521,2,147,260,True
521,5,5,10,True
521,11,231,260,True
521,13,227,260,True
521,29,12,13,True
523,3,35,58,True
523,7,238,261,True
523,11,25,29,True
523,13,235,261,True
523,17,80,87,True
523,19,8,9,True
523,23,242,261,True
523,29,256,261,True
541,3,82,135,True
541,5,110,135,True
541,7,71,90,True
541,11,93,108,True
541,17,53,60,True
541,19,261,270,True
541,23,128,135,True
541,29,53,60,True
547,3,7,14,True
547,11,32,39,True
547,13,18,21,True
547,19,257,273,True
547,29,87,91,True
557,7,231,278,True
557,17,257,278,True
557,19,130,139,True
557,29,269,278,True
563,3,194,281,True
563,7,232,281,True
563,11,249,281,True
563,13,265,281,True
563,17,272,281,True
563,19,261,281,True
563,23,273,281,True
569,2,151,284,True
569,5,55,71,True
569,7,243,284,True
569,13,263,284,True
569,17,267,284,True
571,2,49,114,True
571,5,226,285,True
571,7,167,190,True
571,11,258,285,True
571,13,266,285,True
571,23,91,95,True
571,29,54,57,True
577,2,71,144,True
577,3,31,48,True
577,11,82,96,True
577,17,269,288,True
577,19,39,48,True
577,23,275,288,True
577,29,187,192,True
587,3,191,293,True
587,7,255,293,True
587,17,274,293,True
587,29,283,293,True
593,2,67,148,True
593,17,274,296,True
593,19,141,148,True
593,23,69,74,True
593,29,141,148,True
599,2,147,299,True
599,3,191,299,True
599,5,229,299,True
599,13,273,299,True
599,17,282,299,True
599,19,11,13,True
601,2,9,25,True
601,3,48,75,True
601,5,6,12,True
601,13,14,20,True
601,17,105,120,True
601,23,287,300,True
607,2,131,303,True
607,7,88,101,True
607,11,275,303,True
607,13,279,303,True
607,19,288,303,True
613,3,62,102,True
613,7,126,153,True
